"Grass-legume hay"|"Tons"||5.6|||||||"22552881"|"45163879"
"Pasture"|"AUM"||11.2|||||||"22552881"|"45163880"
"Soybeans"|"Bu"||54|||||||"22552881"|"45163881"
"Winter wheat"|"Bu"||77|||||||"22552881"|"45163882"
"Winter wheat"|"Bu"||70|||||||"22552882"|"45163883"
"Corn"|"Bu"||155|||||||"22552882"|"45163884"
"Grass-legume hay"|"Tons"||5.1|||||||"22552882"|"45163885"
"Pasture"|"AUM"||10.2|||||||"22552882"|"45163886"
"Soybeans"|"Bu"||49|||||||"22552882"|"45163887"
"Corn"|"Bu"||0|||||||"22552935"|"45164078"
"Grass-legume hay"|"Tons"||0|||||||"22552935"|"45164079"
"Pasture"|"AUM"||0|||||||"22552935"|"45164080"
"Soybeans"|"Bu"||0|||||||"22552935"|"45164081"
"Winter wheat"|"Bu"||0|||||||"22552935"|"45164082"
"Corn"|"Bu"||165|||||||"22552833"|"45163708"
"Grass-legume hay"|"Tons"||5.4|||||||"22552833"|"45163709"
"Pasture"|"AUM"||10.9|||||||"22552833"|"45163710"
"Soybeans"|"Bu"||49|||||||"22552833"|"45163711"
"Winter wheat"|"Bu"||66|||||||"22552833"|"45163712"
